测试套/软件包名,测试用例名,状态,与2303对比,日志文件,原因
,oe_test_pesign_efisiglist,failed,unknown,./mugen-riscv/logs/pesign/oe_test_pesign_efisiglist/2023-08-08-10:12:27.log,
,oe_test_pesign_efikeygen,failed,unknown,./mugen-riscv/logs/pesign/oe_test_pesign_efikeygen/2023-08-08-10:11:30.log,
,oe_test_pesign_pesign-client_02,succeed,unknown,./mugen-riscv/logs/pesign/oe_test_pesign_pesign-client_02/2023-08-08-10:17:00.log,
,oe_test_pesign_authvar,succeed,unknown,./mugen-riscv/logs/pesign/oe_test_pesign_authvar/2023-08-08-10:15:18.log,
,oe_test_pesign_base_01,succeed,unknown,./mugen-riscv/logs/pesign/oe_test_pesign_base_01/2023-08-08-10:13:26.log,
,oe_test_pesign_pesigcheck,failed,unknown,./mugen-riscv/logs/pesign/oe_test_pesign_pesigcheck/2023-08-08-10:18:00.log,
,oe_test_service_pesign,succeed,unknown,./mugen-riscv/logs/pesign/oe_test_service_pesign/2023-08-08-10:09:36.log,
,oe_test_pesign_base_02,failed,unknown,./mugen-riscv/logs/pesign/oe_test_pesign_base_02/2023-08-08-10:14:18.log,
udisks2,oe_test_service_udisks2,succeed,03fail,./mugen-riscv/logs/udisks2/oe_test_service_udisks2/2023-08-08-12:16:25.log,
postfix,oe_test_service_postfix,succeed,unknown,./mugen-riscv/logs/postfix/oe_test_service_postfix/2023-08-08-11:08:03.log,
,oe_test_postfix_configuration,succeed,unknown,./mugen-riscv/logs/postfix/oe_test_postfix_configuration/2023-08-08-11:10:21.log,
httpd,oe_test_service_httpd-init,succeed,unknown,./mugen-riscv/logs/httpd/oe_test_service_httpd-init/2023-08-08-10:28:02.log,
,oe_test_service_htcacheclean,succeed,unknown,./mugen-riscv/logs/httpd/oe_test_service_htcacheclean/2023-08-08-10:26:47.log,
,oe_test_service_httpd,succeed,unknown,./mugen-riscv/logs/httpd/oe_test_service_httpd/2023-08-08-10:28:56.log,
,oe_test_socket_httpd,succeed,unknown,./mugen-riscv/logs/httpd/oe_test_socket_httpd/2023-08-08-10:30:20.log,
keepalived,oe_test_service_keepalived,failed,unknown,./mugen-riscv/logs/keepalived/oe_test_service_keepalived/2023-08-08-11:47:02.log,
mksh,oe_test_mksh,succeed,unknown,./mugen-riscv/logs/mksh/oe_test_mksh/2023-08-08-11:53:54.log,
wpa_supplicant,oe_test_service_wpa_supplicant,succeed,unknown,./mugen-riscv/logs/wpa_supplicant/oe_test_service_wpa_supplicant/2023-08-08-12:35:34.log,
