测试套/软件包名,测试用例名,状态,与2303对比,日志文件,原因
,oe_test_audit_count_time,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_count_time/2023-08-09-03:01:50.log,软件未安装
,oe_test_audit_event_log,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_event_log/2025-08-09-03:29:41.log,软件未安装
,oe_test_audit_fetch_file_in_order,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_fetch_file_in_order/2023-08-09-03:00:44.log,软件未安装
,oe_test_audit_max_log_file_ignore,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_max_log_file_ignore/2023-08-09-03:05:20.log,软件未安装
,oe_test_audit_max_log_file_keep_logs,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_max_log_file_keep_logs/2023-08-09-03:20:11.log,软件未安装
,oe_test_audit_max_log_file_rotate,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_max_log_file_rotate/2023-08-09-03:04:01.log,软件未安装
,oe_test_audit_max_log_file_suspend,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_max_log_file_suspend/2023-08-09-03:18:21.log,软件未安装
,oe_test_audit_max_log_file_syslog,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_max_log_file_syslog/2023-08-09-03:16:30.log,软件未安装
,oe_test_audit_monitor_dictionary_access,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_monitor_dictionary_access/2023-08-09-02:56:10.log,软件未安装
,oe_test_audit_monitor_do_command,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_monitor_do_command/2023-08-09-02:57:00.log,软件未安装
,oe_test_audit_monitor_file_access,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_monitor_file_access/2023-08-09-02:25:59.log,软件未安装
,oe_test_audit_monitor_network_visit,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_monitor_network_visit/2023-08-09-02:57:59.log,软件未安装
,oe_test_audit_monitor_system_use,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_monitor_system_use/2023-08-09-02:56:33.log,软件未安装
,oe_test_audit_other,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_other/2025-08-09-03:30:01.log,软件未安装
,oe_test_audit_rule_conflict_strategy,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_rule_conflict_strategy/2023-08-09-02:59:56.log,软件未安装
,oe_test_audit_rule_contact_strategy,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_rule_contact_strategy/2023-08-09-02:59:12.log,软件未安装
