测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_server_squid_proxy,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_server_squid_proxy/2023-08-08-12_54_52.log,systemd-253-1 问题
,oe_test_timedatectl,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_timedatectl/2023-08-08-11_45_47.log,systemd-253-1 问题
,oe_test_vim,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_vim/2023-08-08-22_46_29.log,没有预装 vim 软件包
,oe_test_virt-what,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_virt-what/2023-08-08-23_59_00.log,virt-what 安装失败 nothing provides dmidecode needed by virt-what-1.25-1.oe2309.riscv64
,oe_test_who,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_who/2023-08-08-10_55_58.log,原因未知
os-storage,oe_test_storage_DevMgmt_fstrim,fail,./oe-rv2309/mugen-riscv/logs/os-storage/oe_test_storage_DevMgmt_fstrim/2023-08-13-13_29_38.log,
,oe_test_storage_diskpartiton_parted_create,fail,./oe-rv2309/mugen-riscv/logs/os-storage/oe_test_storage_diskpartiton_parted_create/2023-08-13-15_14_52.log,
,oe_test_storage_diskpartiton_parted_delete,fail,./oe-rv2309/mugen-riscv/logs/os-storage/oe_test_storage_diskpartiton_parted_delete/2023-08-13-12_23_42.log,
,oe_test_storage_diskpartiton_parted_view,fail,./oe-rv2309/mugen-riscv/logs/os-storage/oe_test_storage_diskpartiton_parted_view/2023-08-13-13_22_52.log,
,oe_test_storage_ext3_mount,fail,./oe-rv2309/mugen-riscv/logs/os-storage/oe_test_storage_ext3_mount/2023-08-13-12_04_03.log,
,oe_test_storage_ext4_create,fail,./oe-rv2309/mugen-riscv/logs/os-storage/oe_test_storage_ext4_create/2023-08-13-12_41_01.log,
,oe_test_storage_ext4_resize,fail,./oe-rv2309/mugen-riscv/logs/os-storage/oe_test_storage_ext4_resize/2023-08-13-15_02_33.log,
,oe_test_storage_lvm_VG_transfer,fail,./oe-rv2309/mugen-riscv/logs/os-storage/oe_test_storage_lvm_VG_transfer/2023-08-13-14_28_00.log,
,oe_test_storage_lvm_activation,fail,./oe-rv2309/mugen-riscv/logs/os-storage/oe_test_storage_lvm_activation/2023-08-13-15_15_47.log,
,oe_test_storage_lvm_print,fail,./oe-rv2309/mugen-riscv/logs/os-storage/oe_test_storage_lvm_print/2023-08-13-13_20_47.log,
,oe_test_storage_lvm_print_history,fail,./oe-rv2309/mugen-riscv/logs/os-storage/oe_test_storage_lvm_print_history/2023-08-13-14_38_30.log,
,oe_test_storage_lvm_pvs,fail,./oe-rv2309/mugen-riscv/logs/os-storage/oe_test_storage_lvm_pvs/2023-08-13-12_30_02.log,
,oe_test_storage_lvm_rename,fail,./oe-rv2309/mugen-riscv/logs/os-storage/oe_test_storage_lvm_rename/2023-08-13-14_08_27.log,
,oe_test_storage_lvm_rename_VG,fail,./oe-rv2309/mugen-riscv/logs/os-storage/oe_test_storage_lvm_rename_VG/2023-08-13-12_35_27.log,
,oe_test_storage_lvm_resize_PV,fail,./oe-rv2309/mugen-riscv/logs/os-storage/oe_test_storage_lvm_resize_PV/2023-08-13-13_12_42.log,
,oe_test_storage_lvm_set_lvconvert_volume,fail,./oe-rv2309/mugen-riscv/logs/os-storage/oe_test_storage_lvm_set_lvconvert_volume/2023-08-13-12_59_36.log,
,oe_test_storage_mount_private,fail,./oe-rv2309/mugen-riscv/logs/os-storage/oe_test_storage_mount_private/2023-08-13-15_21_16.log,
,oe_test_storage_nfs_mount_RW,fail,./oe-rv2309/mugen-riscv/logs/os-storage/oe_test_storage_nfs_mount_RW/2023-08-13-13_53_46.log,
,oe_test_storage_nfs_repeat_restart,fail,./oe-rv2309/mugen-riscv/logs/os-storage/oe_test_storage_nfs_repeat_restart/2023-08-13-12_31_03.log,
pcp,oe_test_pcp_pcp-import-iostat2pcp,fail,./oe-rv2309/mugen-riscv/logs/pcp/oe_test_pcp_pcp-import-iostat2pcp/2023-08-12-14_30_36.log,
,oe_test_pcp_pcp-import-mrtg2pcp,fail,./oe-rv2309/mugen-riscv/logs/pcp/oe_test_pcp_pcp-import-mrtg2pcp/2023-08-12-14_35_02.log,
,oe_test_pcp_pcp-import-sar2pcp,fail,./oe-rv2309/mugen-riscv/logs/pcp/oe_test_pcp_pcp-import-sar2pcp/2023-08-12-14_39_43.log,
,oe_test_service_pmlogger,fail,./oe-rv2309/mugen-riscv/logs/pcp/oe_test_service_pmlogger/2023-08-12-14_47_09.log,
