测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_storage_mount_repeat,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_mount_repeat/2023-09-13-10:07:59.log,x86 fail
,oe_test_storage_lvm_snapshot_merge,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_lvm_snapshot_merge/2023-09-13-11:12:46.log,x86 fail
,oe_test_storage_xfs_backup,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_xfs_backup/2023-09-13-10:42:12.log,x86 fail
,oe_test_storage_DevMgmt_lsblk,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_DevMgmt_lsblk/2023-09-13-10:06:28.log,x86 fail
,oe_test_storage_lvm_set_label,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_lvm_set_label/2023-09-13-14:43:24.log,x86 fail
,oe_test_storage_lvm_query_lvmsnap,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_lvm_query_lvmsnap/2023-09-13-10:05:01.log,x86 fail
,oe_test_storage_lvm_set_lvconvert_raid,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_lvm_set_lvconvert_raid/2023-09-13-15:13:29.log,x86 fail
,oe_test_storage_lvm_VG_transfer,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_lvm_VG_transfer/2023-09-13-11:42:52.log,x86 fail
,oe_test_storage_lvm_snapshot_tag,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_lvm_snapshot_tag/2023-09-13-12:43:02.log,x86 fail
,oe_test_storage_lvm_set_limit,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_lvm_set_limit/2023-09-13-14:13:18.log,x86 fail
,oe_test_storage_DevMgmt_fstrim,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_DevMgmt_fstrim/2023-09-13-16:13:41.log,x86 fail
,oe_test_storage_xfs_Increase_size,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_xfs_Increase_size/2023-09-13-10:40:50.log,x86 fail
,oe_test_storage_repair_xfs,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_repair_xfs/2023-09-13-10:39:09.log,x86 fail
,oe_test_storage_mount_block_device,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_mount_block_device/2023-09-13-10:00:35.log,x86 fail
,oe_test_storage_lvm_set_regionsize,fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_lvm_set_regionsize/2023-09-13-10:42:41.log,None
,oe_test_storage_nfs_start_server,fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_nfs_start_server/2023-09-13-10:38:15.log,None
systemd,oe_test_target_cryptsetup,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_target_cryptsetup/2023-09-13-22:14:28.log,x86 fail
,oe_test_socket_systemd-journal-gatewayd,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_socket_systemd-journal-gatewayd/2023-09-13-22:08:45.log,x86 fail
,oe_test_target_initrd-switch-root,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_target_initrd-switch-root/2023-09-13-22:20:19.log,x86 fail
,oe_test_service_systemd-portabled,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-portabled/2023-09-13-21:54:18.log,x86 fail
,oe_test_socket_systemd-journald-dev-log,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_socket_systemd-journald-dev-log/2023-09-13-22:07:33.log,x86 fail
,oe_test_service_systemd-vconsole-setup,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-vconsole-setup/2023-09-13-22:04:29.log,测试过程中出现错误log
,oe_test_service_systemd-importd,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-importd/2023-09-13-21:42:08.log,x86 fail
,oe_test_service_dbus-org.freedesktop.login1,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_dbus-org.freedesktop.login1/2023-09-13-21:30:20.log, Job type reload is not applicable for unit dbus-org.freedesktop.login1.service
,oe_test_socket_systemd-networkd,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_socket_systemd-networkd/2023-09-13-22:11:09.log,x86 fail
,oe_test_target_veritysetup,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_target_veritysetup/2023-09-13-22:38:09.log,x86 fail
,oe_test_service_systemd-sysext,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-sysext/2023-09-13-22:35:02.log,x86 fail
