测试套/软件包名,测试用例名,状态,与2303对比,日志文件,原因
,oe_test_ctest,success,same,./oe-rv2309/mugen-riscv/logs/cmake/oe_test_ctest/2023-08-09-03:58:37.log,None
,oe_test_ctest3,success,same,./oe-rv2309/mugen-riscv/logs/cmake/oe_test_ctest3/2023-08-09-04:00:28.log,None
cracklib,oe_test_cracklib,success,same,./oe-rv2309/mugen-riscv/logs/cracklib/oe_test_cracklib/2023-08-09-04:53:39.log,None
cronie,oe_test_cronie,success,same,./oe-rv2309/mugen-riscv/logs/cronie/oe_test_cronie/2023-08-09-04:36:28.log,None
,oe_test_service_crond,success,same,./oe-rv2309/mugen-riscv/logs/cronie/oe_test_service_crond/2023-08-09-04:35:43.log,None
dkms,oe_test_service_dkms,success,same,./oe-rv2309/mugen-riscv/logs/dkms/oe_test_service_dkms/2023-08-09-04:54:51.log,None
fcoe-utils,oe_test_service_fcoe,success,03fail,./oe-rv2309/mugen-riscv/logs/fcoe-utils/oe_test_service_fcoe/2023-08-09-04:56:41.log,None
fftw,oe_test_fftw_fftw-wisdom-to-conf,fail,same,./oe-rv2309/mugen-riscv/logs/fftw/oe_test_fftw_fftw-wisdom-to-conf/2023-08-09-03:38:21.log,2303x86和riscv中均出现相同问题，怀疑为上游缺陷
,oe_test_fftw_fftw-wisdom_02,fail,same,./oe-rv2309/mugen-riscv/logs/fftw/oe_test_fftw_fftw-wisdom_02/2023-08-09-03:40:33.log,2303x86和riscv中均出现相同问题，怀疑为上游缺陷
,oe_test_fftw_fftwf-wisdom_02,fail,same,./oe-rv2309/mugen-riscv/logs/fftw/oe_test_fftw_fftwf-wisdom_02/2023-08-09-03:43:44.log,2303x86和riscv中均出现相同问题，怀疑为上游缺陷
,oe_test_fftw_fftwl-wisdom_02,fail,same,./oe-rv2309/mugen-riscv/logs/fftw/oe_test_fftw_fftwl-wisdom_02/2023-08-09-03:46:58.log,2303x86和riscv中均出现相同问题，怀疑为上游缺陷
,oe_test_fftw_fftw-wisdom_01,success,same,./oe-rv2309/mugen-riscv/logs/fftw/oe_test_fftw_fftw-wisdom_01/2023-08-09-03:39:28.log,None
,oe_test_fftw_fftw-wisdom_03,success,same,./oe-rv2309/mugen-riscv/logs/fftw/oe_test_fftw_fftw-wisdom_03/2023-08-09-03:41:40.log,None
,oe_test_fftw_fftwf-wisdom_01,success,same,./oe-rv2309/mugen-riscv/logs/fftw/oe_test_fftw_fftwf-wisdom_01/2023-08-09-03:42:40.log,None
,oe_test_fftw_fftwf-wisdom_03,success,same,./oe-rv2309/mugen-riscv/logs/fftw/oe_test_fftw_fftwf-wisdom_03/2023-08-09-03:44:50.log,None
,oe_test_fftw_fftwl-wisdom_01,success,same,./oe-rv2309/mugen-riscv/logs/fftw/oe_test_fftw_fftwl-wisdom_01/2023-08-09-03:45:53.log,None
,oe_test_fftw_fftwl-wisdom_03,success,same,./oe-rv2309/mugen-riscv/logs/fftw/oe_test_fftw_fftwl-wisdom_03/2023-08-09-03:48:02.log,None
gdb,oe_test_gdb_recovery_database,success,same,./oe-rv2309/mugen-riscv/logs/gdb/oe_test_gdb_recovery_database/2023-08-09-04:58:42.log,None
glibc,oe_test_service_nscd,success,same,./oe-rv2309/mugen-riscv/logs/glibc/oe_test_service_nscd/2023-08-09-04:36:39.log,None
,oe_test_socket_nscd,success,same,./oe-rv2309/mugen-riscv/logs/glibc/oe_test_socket_nscd/2023-08-09-04:38:30.log,None
gnome-shell,oe_test_gnome-shell,fail,09fail,./oe-rv2309/mugen-riscv/logs/gnome-shell/oe_test_gnome-shell/2023-08-09-05:00:14.log,软件包安装时发生依赖错误
graphviz,oe_test_graphviz,success,same,./oe-rv2309/mugen-riscv/logs/graphviz/oe_test_graphviz/2023-08-09-05:17:07.log,None
